ID,Book Title,Title,Authors,PDFs
285764,FAST 23,{ADOC}: Automatically Harmonizing Dataflow Between Components in {Log-Structured} {Key-Value} Stores for Improved Performance,Jinghuan Yu and Sam H. Noh and Young-ri Choi and Chun Jason Xue,https://www.usenix.org/system/files/fast23-yu.pdf
285805,FAST 23,Building and Operating a Pretty Big Storage System (My Adventures in Amazon S3),Andy Warfield,
285736,FAST 23,Citron: Distributed Range Lock Management with One-sided {RDMA},Jian Gao and Youyou Lu and Minhui Xie and Qing Wang and Jiwu Shu,https://www.usenix.org/system/files/fast23-gao.pdf
285778,FAST 23,{CJFS}: Concurrent Journaling for Better Scalability,Joontaek Oh and Seung Won Yoo and Hojin Nam and Changwoo Min and Youjip Won,https://www.usenix.org/system/files/fast23-oh.pdf
285784,FAST 23,{ConfD}: Analyzing Configuration Dependencies of File Systems for Fun and Profit,Tabassum Mahmud and Om Rameshwar Gatla and Duo Zhang and Carson Love and Ryan Bumann and Mai Zheng,https://www.usenix.org/system/files/fast23-mahmud.pdf
285752,FAST 23,Fast Application Launch on Personal {Computing/Communication} Devices,Junhee Ryu and Dongeun Lee and Kang G. Shin and Kyungtae Kang,https://www.usenix.org/system/files/fast23-ryu.pdf
285790,FAST 23,Fisc: A Large-scale Cloud-native-oriented File System,Qiang Li and Lulu Chen and Xiaoliang Wang and Shuo Huang and Qiao Xiang and Yuanyuan Dong and Wenhui Yao and Minfei Huang and Puyuan Yang and Shanyang Liu and Zhaosheng Zhu and Huayong Wang and Haonan Qiu and Derui Liu and Shaozong Liu and Yujie Zhou and Yaohui Wu and Zhiwu Wu and Shang Gao and Chao Han and Zicheng Luo and Yuchao Shao and Gexiao Tian and Zhongjie Wu and Zheng Cao and Jinbo Wu and Jiwu Shu and Jie Wu and Jiesheng Wu,https://www.usenix.org/system/files/fast23-li-qiang.pdf
285786,FAST 23,{FUSEE}: A Fully {Memory-Disaggregated} {Key-Value} Store,Jiacheng Shen and Pengfei Zuo and Xuchuan Luo and Tianyi Yang and Yuxin Su and Yangfan Zhou and Michael R. Lyu,https://www.usenix.org/system/files/fast23-shen.pdf
285742,FAST 23,{GL-Cache}: Group-level learning for efficient and high-performance caching,Juncheng Yang and Ziming Mao and Yao Yue and K. V. Rashmi,https://www.usenix.org/system/files/fast23-yang.pdf
285766,FAST 23,{HadaFS}: A File System Bridging the Local and Shared Burst Buffer for Exascale Supercomputers,Xiaobin He and Bin Yang and Jie Gao and Wei Xiao and Qi Chen and Shupeng Shi and Dexun Chen and Weiguo Liu and Wei Xue and Zuo-ning Chen,https://www.usenix.org/system/files/fast23-he.pdf
285780,FAST 23,{InftyDedup}: Scalable and {Cost-Effective} Cloud Tiering with Deduplication,Iwona Kotlarska and Andrzej Jackowski and Krzysztof Lichota and Michal Welnicki and Cezary Dubnicki and Konrad Iwanicki,https://www.usenix.org/system/files/fast23-kotlarska.pdf
285748,FAST 23,Integrated {Host-SSD} Mapping Table Management for Improving User Experience of Smartphones,Yoona Kim and Inhyuk Choi and Juhyung Park and Jaeheon Lee and Sungjin Lee and Jihong Kim,https://www.usenix.org/system/files/fast23-kim-yoona.pdf
285744,FAST 23,Intelligent Resource Scheduling for Co-located Latency-critical Services: A {Multi-Model} Collaborative Learning Approach,Lei Liu and Xinglei Dou and Yuetao Chen,https://www.usenix.org/system/files/fast23-liu.pdf
285756,FAST 23,{MadFS}: {Per-File} Virtualization for Userspace Persistent Memory Filesystems,Shawn Zhong and Chenhao Ye and Guanzhou Hu and Suyan Qu and Andrea Arpaci-Dusseau and Remzi Arpaci-Dusseau and Michael Swift,https://www.usenix.org/system/files/fast23-zhong.pdf
285788,FAST 23,More Than Capacity: Performance-oriented Evolution of Pangu in Alibaba,Qiang Li and Qiao Xiang and Yuxin Wang and Haohao Song and Ridi Wen and Wenhui Yao and Yuanyuan Dong and Shuqi Zhao and Shuo Huang and Zhaosheng Zhu and Huayong Wang and Shanyang Liu and Lulu Chen and Zhiwu Wu and Haonan Qiu and Derui Liu and Gexiao Tian and Chao Han and Shaozong Liu and Yaohui Wu and Zicheng Luo and Yuchao Shao and Junping Wu and Zheng Cao and Zhongjie Wu and Jiaji Zhu and Jinbo Wu and Jiwu Shu and Jiesheng Wu,https://www.usenix.org/system/files/fast23-li-qiang_more.pdf
285760,FAST 23,"Multi-view Feature-based {SSD} Failure Prediction: What, When, and Why",Yuqi Zhang and Wenwen Hao and Ben Niu and Kangkang Liu and Shuyang Wang and Na Liu and Xing He and Yongwong Gwon and Chankyu Koh,https://www.usenix.org/system/files/fast23-zhang-yuqi.pdf
285750,FAST 23,{NVMeVirt}: A Versatile Software-defined Virtual {NVMe} Device,Sang-Hoon Kim and Jaehoon Shim and Euidong Lee and Seongyeop Jeong and Ilkueon Kang and Jin-Soo Kim,https://www.usenix.org/system/files/fast23-kim.pdf
285776,FAST 23,{ParaRC}: Embracing {Sub-Packetization} for Repair Parallelization in {MSR-Coded} Storage,Xiaolu Li and Keyun Cheng and Kaicheng Tang and Patrick P. C. Lee and Yuchong Hu and Dan Feng and Jie Li and Ting-Yi Wu,https://www.usenix.org/system/files/fast23-li.pdf
285738,FAST 23,Patronus: {High-Performance} and Protective Remote Memory,Bin Yan and Youyou Lu and Qing Wang and Minhui Xie and Jiwu Shu,https://www.usenix.org/system/files/fast23-yan.pdf
285740,FAST 23,Perseus: A {Fail-Slow} Detection Framework for Cloud Storage Systems,Ruiming Lu and Erci Xu and Yiming Zhang and Fengyi Zhu and Zhaosheng Zhu and Mengtian Wang and Zongpeng Zhu and Guangtao Xue and Jiwu Shu and Minglu Li and Jiesheng Wu,https://www.usenix.org/system/files/fast23-lu.pdf
285772,FAST 23,Practical Design Considerations for Wide Locally Recoverable Codes ({{{{{LRCs}}}}}),Saurabh Kadekodi and Shashwat Silas and David Clausen and Arif Merchant,https://www.usenix.org/system/files/fast23-kadekodi.pdf
285754,FAST 23,Revitalizing the Forgotten {On-Chip} {DMA} to Expedite Data Movement in {NVM-based} Storage Systems,Jingbo Su and Jiahao Li and Luofan Chen and Cheng Li and Kai Zhang and Liang Yang and Yinlong Xu,https://www.usenix.org/system/files/fast23-su.pdf
285768,FAST 23,{ROLEX}: A Scalable {RDMA-oriented} Learned {Key-Value} Store for Disaggregated Memory Systems,Pengfei Li and Yu Hua and Pengfei Zuo and Zhangyu Chen and Jiajie Sheng,https://www.usenix.org/system/files/fast23-li-pengfei.pdf
285774,FAST 23,{SHADE}: Enable Fundamental Cacheability for Distributed Deep Learning Training,Redwan Ibne Seraj Khan and Ahmad Hossein Yazdani and Yuqi Fu and Arnab K. Paul and Bo Ji and Xun Jian and Yue Cheng and Ali R. Butt,https://www.usenix.org/system/files/fast23-khan.pdf
285758,FAST 23,{SMRSTORE}: A Storage Engine for Cloud Object Storage on {HM-SMR} Drives,Su Zhou and Erci Xu and Hao Wu and Yu Du and Jiacheng Cui and Wanyu Fu and Chang Liu and Yingni Wang and Wenbo Wang and Shouqu Sun and Xianfei Wang and Bo Feng and Biyun Zhu and Xin Tong and Weikang Kong and Linyan Liu and Zhongjie Wu and Jinbo Wu and Qingchao Luo and Jiesheng Wu,https://www.usenix.org/system/files/fast23-zhou-su.pdf
285762,FAST 23,On Stacking a Persistent Memory File System on Legacy File Systems,Hobin Woo and Daegyu Han and Seungjoon Ha and Sam H. Noh and Beomseok Nam,https://www.usenix.org/system/files/fast23-woo.pdf
285770,FAST 23,{TENET}: Memory Safe and Fault Tolerant Persistent Transactional Memory,R. Madhava Krishnan and Diyu Zhou and Wook-Hee Kim and Sudarsun Kannan and Sanidhya Kashyap and Changwoo Min,https://www.usenix.org/system/files/fast23-krishnan.pdf
285782,FAST 23,Unsafe at Any Copy: Name Collisions from Mixing Case Sensitivities,Aditya Basu and John Sampson and Zhiyun Qian and Trent Jaeger,https://www.usenix.org/system/files/fast23-basu.pdf
285746,FAST 23,{λ-IO}: A Unified {IO} Stack for Computational Storage,Zhe Yang and Youyou Lu and Xiaojian Liao and Youmin Chen and Junru Li and Siyu He and Jiwu Shu,https://www.usenix.org/system/files/fast23-yang-zhe.pdf
277250,USENIX Security 22,99\% False Positives: A Qualitative Study of {SOC} Analysts{\textquoteright} Perspectives on Security Alarms,Bushra A. Alahmadi and Louise Axon and Ivan Martinovic,https://www.usenix.org/system/files/sec22-alahmadi.pdf
